Time,MTìfèoà≥óÕ,LTìfèoà≥óÕ,MTìfèoâ∑ìx,â∑êÖéÊèoâ∑ìx,â∑êÖó¨ó 
2023-08-06 14:12:00,   7.55,   2.19, 115.9, 106.4,  -1.0
2023-08-06 14:14:00,   7.51,   2.14, 115.8, 106.5,  -0.9
2023-08-06 14:14:00,   7.48,   2.11, 115.9, 106.5,  -0.6
2023-08-06 14:16:00,   7.46,   2.07, 116.3, 106.5,  -0.8
2023-08-06 14:16:00,   7.36,   1.97, 116.9, 106.6,  -0.7
2023-08-06 14:18:00,   7.20,   2.17, 117.1, 106.6,  -0.9
2023-08-06 14:18:00,   7.16,   1.98, 114.5, 105.8,  -0.8
2023-08-06 14:20:00,   6.91,   2.01, 113.0, 103.7,  -1.0
2023-08-06 14:20:00,   6.97,   2.27, 111.1,  93.5,  -1.1
2023-08-06 14:22:00,   7.08,   2.13, 109.4,  77.8,  -1.7
2023-08-06 14:22:00,   7.42,   2.19, 105.6,  60.7,  -2.3
2023-08-06 14:24:00,   7.14,   2.07, 105.3,  55.1,  -2.4
2023-08-06 14:24:00,   7.20,   2.42, 106.6,  63.1,  -2.4
2023-08-06 14:26:00,   7.27,   2.40, 106.9,  72.2,  -2.4
2023-08-06 14:26:00,   7.23,   2.45, 106.6,  74.8,  -2.4
2023-08-06 14:28:00,   7.25,   2.40, 106.2,  76.0,  -2.4
2023-08-06 14:28:00,   7.36,   2.41, 106.7,  76.7,  -2.4
2023-08-06 14:30:00,   7.40,   2.45, 107.5,  76.7,  -2.4
2023-08-06 14:30:00,   7.42,   2.44, 108.8,  76.4,  -2.4
2023-08-06 14:32:00,   7.46,   2.43, 109.7,  79.3,  -2.4
2023-08-06 14:32:00,   7.50,   2.41, 110.9,  93.4,  -2.4
2023-08-06 14:34:00,   7.53,   2.42, 111.9,  95.6,  -2.4
2023-08-06 14:34:00,   7.59,   2.43, 112.4,  94.4,  -2.4
2023-08-06 14:36:00,   7.63,   2.43, 112.8,  93.3,  -2.4
2023-08-06 14:36:00,   7.63,   2.43, 113.1,  92.5,  -2.4
2023-08-06 14:38:00,   7.65,   2.41, 113.4,  91.6,  -2.4
2023-08-06 14:38:00,   7.66,   2.37, 113.6,  90.8,  -2.4
2023-08-06 14:40:00,   7.65,   2.34, 114.0,  90.2,  -2.4
2023-08-06 14:40:00,   7.66,   2.33, 114.6,  89.9,  -2.4
2023-08-06 14:42:00,   7.68,   2.33, 115.0,  89.3,  -2.4
2023-08-06 14:42:00,   7.72,   2.36, 115.2,  88.7,  -2.4
2023-08-06 14:44:00,   7.68,   2.40, 114.8,  87.9,  -2.4
2023-08-06 14:44:00,   7.66,   2.37, 114.3,  87.7,  -2.4
2023-08-06 14:46:00,   7.65,   2.37, 114.1,  86.9,  -2.4
2023-08-06 14:46:00,   7.65,   2.36, 114.0,  86.2,  -2.4
2023-08-06 14:48:00,   7.65,   2.35, 114.1,  85.8,  -2.4
2023-08-06 14:48:00,   7.70,   2.37, 114.3,  86.1,  -2.4
2023-08-06 14:50:00,   7.72,   2.42, 114.3,  85.7,  -2.4
2023-08-06 14:50:00,   7.72,   2.42, 114.0,  85.4,  -2.4
2023-08-06 14:52:00,   7.72,   2.40, 113.7,  84.7,  -2.4
2023-08-06 14:52:00,   7.74,   2.36, 113.8,  84.1,  -2.4
2023-08-06 14:54:00,   7.76,   2.35, 114.4,  83.6,  -2.4
2023-08-06 14:54:00,   7.76,   2.35, 114.9,  83.3,  -2.4
2023-08-06 14:56:00,   7.76,   2.36, 115.0,  82.8,  -2.4
2023-08-06 14:56:00,   7.74,   2.38, 114.9,  82.3,  -2.4
2023-08-06 14:58:00,   7.72,   2.40, 114.6,  82.0,  -2.4
2023-08-06 14:58:00,   7.68,   2.40, 114.3,  81.6,  -2.4
2023-08-06 15:00:00,   7.63,   2.34, 113.9,  81.1,  -2.4
2023-08-06 15:00:00,   7.63,   2.29, 114.0,  80.7,  -2.4
2023-08-06 15:02:00,   7.63,   2.31, 114.5,  80.3,  -2.4
2023-08-06 15:02:00,   7.65,   2.34, 114.7,  79.8,  -2.4
2023-08-06 15:04:00,   7.61,   2.36, 114.5,  79.3,  -2.4
2023-08-06 15:04:00,   7.57,   2.38, 113.9,  79.1,  -2.4
2023-08-06 15:06:00,   7.57,   2.38, 113.4,  78.7,  -2.4
2023-08-06 15:06:00,   7.57,   2.37, 113.2,  78.2,  -2.4
2023-08-06 15:08:00,   7.53,   2.34, 113.2,  77.8,  -2.4
2023-08-06 15:08:00,   7.51,   2.32, 113.3,  77.5,  -2.4
2023-08-06 15:10:00,   7.51,   2.28, 113.7,  79.6,  -2.4
2023-08-06 15:10:00,   7.51,   2.29, 114.1,  86.4,  -2.4
2023-08-06 15:12:00,   7.55,   2.33, 114.2,  95.0,  -2.4
2023-08-06 15:12:00,   7.53,   2.37, 114.0, 100.0,  -2.4
2023-08-06 15:14:00,   7.51,   2.37, 113.4, 102.6,  -2.4
2023-08-06 15:14:00,   7.51,   2.34, 113.0, 102.9,  -2.4
2023-08-06 15:16:00,   7.50,   2.35, 113.0, 102.4,  -2.4
2023-08-06 15:16:00,   7.48,   2.31, 112.9, 103.2,  -2.4
2023-08-06 15:18:00,   7.48,   2.28, 113.1, 103.6,  -2.4
2023-08-06 15:18:00,   7.48,   2.28, 113.7, 104.0,  -2.4
2023-08-06 15:20:00,   7.50,   2.29, 114.1, 104.4,  -2.4
2023-08-06 15:20:00,   7.50,   2.30, 114.1, 104.4,  -2.4
2023-08-06 15:22:00,   7.48,   2.34, 114.0, 104.2,  -2.4
2023-08-06 15:22:00,   7.48,   2.34, 113.5, 104.0,  -2.4
2023-08-06 15:24:00,   7.46,   2.31, 113.1, 104.6,  -2.4
2023-08-06 15:24:00,   7.44,   2.30, 113.1, 104.9,  -2.3
2023-08-06 15:26:00,   7.44,   2.25, 113.2, 104.9,  -2.4
2023-08-06 15:26:00,   7.46,   2.30, 113.7, 104.9,  -1.8
2023-08-06 15:28:00,   7.48,   2.32, 113.8, 105.1,  -2.4
2023-08-06 15:28:00,   7.48,   2.34, 113.7, 104.8,  -2.4
2023-08-06 15:30:00,   7.46,   2.35, 113.1, 104.3,  -2.4
2023-08-06 15:30:00,   7.48,   2.36, 112.8, 104.0,  -2.4
2023-08-06 15:32:00,   7.50,   2.36, 112.7, 103.5,  -2.4
2023-08-06 15:32:00,   7.50,   2.35, 112.7, 103.3,  -2.3
2023-08-06 15:34:00,   7.46,   2.31, 112.8, 103.0,  -2.4
2023-08-06 15:34:00,   7.44,   2.25, 113.0, 104.3,  -1.6
2023-08-06 15:36:00,   7.46,   2.24, 113.9, 104.9,  -1.6
2023-08-06 15:36:00,   7.50,   2.28, 114.6, 105.1,  -2.4
2023-08-06 15:38:00,   7.48,   2.30, 114.7, 105.2,  -2.4
2023-08-06 15:38:00,   7.48,   2.33, 114.2, 105.2,  -2.4
2023-08-06 15:40:00,   7.46,   2.34, 113.6, 105.5,  -1.8
2023-08-06 15:40:00,   7.46,   2.31, 113.3, 105.4,  -2.4
2023-08-06 15:42:00,   7.44,   2.31, 113.3, 105.2,  -1.7
2023-08-06 15:42:00,   7.44,   2.31, 113.3, 105.1,  -1.1
2023-08-06 15:44:00,   7.46,   2.31, 113.3, 105.1,  -1.8
2023-08-06 15:44:00,   7.46,   2.31, 113.4, 105.2,  -0.9
2023-08-06 15:46:00,   7.50,   2.31, 113.5, 105.2,  -2.4
2023-08-06 15:46:00,   7.50,   2.34, 113.7, 105.0,  -2.4
2023-08-06 15:48:00,   7.50,   2.34, 113.4, 105.3,  -0.6
2023-08-06 15:48:00,   7.46,   2.31, 113.2, 105.4,  -0.4
2023-08-06 15:50:00,   7.44,   2.25, 113.3, 105.3,  -0.5
2023-08-06 15:50:00,   7.35,   1.94, 114.1, 105.3,  -0.6
2023-08-06 15:52:00,   7.23,   2.04, 115.8, 105.4,   0.7
2023-08-06 15:52:00,   7.06,   2.04, 115.8, 104.1,   0.6
2023-08-06 15:54:00,   6.91,   2.40, 114.6, 100.4,   0.5
2023-08-06 15:54:00,   6.90,   2.40, 112.3,  70.8,  -0.8
2023-08-06 15:56:00,   7.03,   2.35, 110.1,  47.7,  -1.8
2023-08-06 15:56:00,   7.50,   2.19, 104.7,  41.5,  -2.4
2023-08-08 07:02:00,   6.65,   2.39,  40.0,  32.5,  -2.4
2023-08-08 07:03:00,   6.93,   2.42,  39.8,  32.6,  -2.4
2023-08-08 07:04:00,   7.44,   2.67,  57.2,  32.6,  -2.4
2023-08-08 07:05:00,   7.31,   2.55,  81.7,  32.6,  -2.4
2023-08-08 07:06:00,   7.23,   2.30,  93.1,  32.7,  -2.4
2023-08-08 07:07:00,   7.46,   2.43, 101.1,  32.8,  -2.4
2023-08-08 07:08:00,   7.57,   2.71, 104.7,  32.8,  -2.4
2023-08-08 07:09:00,   7.66,   2.82, 104.9,  32.8,  -2.4
2023-08-08 07:10:00,   7.80,   2.90, 104.6,  32.8,  -2.4
2023-08-08 07:11:00,   7.91,   2.94, 104.6,  32.8,  -2.4
2023-08-08 07:12:00,   8.00,   3.00, 104.7,  32.8,  -2.4
2023-08-08 07:13:00,   8.08,   3.03, 104.8,  32.8,  -2.4
2023-08-08 07:14:00,   8.13,   3.06, 104.8,  32.8,  -2.4
2023-08-08 07:15:00,   8.19,   3.07, 104.8,  32.8,  -2.4
2023-08-08 07:16:00,   8.21,   3.07, 104.8,  32.8,  -2.4
2023-08-08 07:17:00,   8.23,   3.08, 104.9,  32.8,  -2.4
2023-08-08 07:18:00,   8.23,   3.06, 105.0,  32.8,  -2.4
2023-08-08 07:19:00,   8.23,   3.03, 105.3,  32.8,  -2.4
2023-08-08 07:20:00,   8.21,   2.99, 105.7,  32.8,  -2.4
2023-08-08 07:21:00,   8.21,   2.94, 106.2,  33.0,  -2.4
2023-08-08 07:22:00,   8.21,   2.88, 107.0,  33.1,  -2.4
2023-08-08 07:23:00,   8.19,   2.85, 107.8,  33.4,  -2.4
2023-08-08 07:24:00,   8.21,   2.83, 108.6,  53.1,  -2.4
2023-08-08 07:25:00,   8.17,   2.82, 109.2,  77.8,  -2.4
2023-08-08 07:26:00,   8.11,   2.59, 110.5,  98.7,  -2.3
2023-08-08 07:27:00,   8.08,   2.63, 112.1, 103.3,   0.0
2023-08-08 07:28:00,   8.00,   2.64, 112.4, 104.8,   1.0
2023-08-08 07:29:00,   8.00,   2.68, 112.4, 104.9,   0.6
2023-08-08 07:30:00,   7.85,   2.51, 112.0, 104.7,  -2.4
2023-08-08 07:31:00,   7.76,   2.29, 112.8, 104.3,  -2.4
2023-08-08 07:32:00,   7.74,   2.21, 115.0, 103.8,  -2.4
2023-08-08 07:33:00,   7.76,   2.28, 117.0, 103.3,  -2.4
2023-08-08 07:34:00,   7.87,   2.61, 117.1, 102.9,  -2.4
2023-08-08 07:35:00,   7.76,   2.46, 114.0, 102.5,  -2.4
2023-08-08 07:36:00,   7.66,   2.13, 113.2, 102.1,  -2.4
2023-08-08 07:37:00,   7.35,   1.97, 115.4, 102.4,  -2.4
2023-08-08 07:38:00,   7.16,   1.98, 116.0, 103.2,  -1.1
2023-08-08 07:39:00,   7.01,   2.46, 115.0, 104.5,  -2.4
2023-08-08 07:40:00,   6.90,   2.40, 112.1, 104.5,   0.7
2023-08-08 07:41:00,   7.31,   2.28, 109.4,  93.4,   0.6
2023-08-08 07:42:00,   7.42,   2.33, 109.0,  79.5,   0.0
2023-08-08 07:43:00,   7.25,   2.41, 109.0,  89.0,  -0.2
2023-08-08 07:44:00,   7.20,   2.39, 108.5,  93.1,  -2.4
2023-08-08 07:45:00,   7.16,   2.40, 108.3,  93.0,  -2.4
2023-08-08 07:46:00,   7.16,   2.41, 108.1,  93.0,  -2.4
2023-08-08 07:47:00,   7.16,   2.37, 108.1,  92.9,  -2.4
2023-08-08 07:48:00,   7.20,   2.37, 108.5,  93.6,  -2.4
2023-08-08 07:49:00,   7.25,   2.37, 109.2,  96.5,  -2.4
2023-08-08 07:50:00,   7.27,   2.36, 109.8,  98.1,  -0.6
2023-08-08 07:51:00,   7.23,   2.33, 110.5, 102.3,  -1.4
2023-08-08 07:52:00,   7.21,   2.33, 110.9, 102.7,  -2.4
2023-08-08 07:53:00,   7.20,   2.25, 111.1, 102.6,  -2.4
2023-08-08 07:54:00,   7.14,   2.08, 111.5, 103.3,  -0.8
2023-08-08 07:55:00,   6.90,   2.25, 112.0, 103.4,  -0.8
2023-08-08 07:56:00,   7.14,   2.16, 111.1,  92.7,   0.7
2023-08-08 07:57:00,   7.01,   1.84, 110.1,  61.2,   0.0
2023-08-08 07:58:00,   6.91,   1.86, 108.9,  47.6,  -0.6
2023-08-08 07:59:00,   6.88,   1.86, 105.8,  36.1,  -0.8
2023-08-08 08:00:00,   7.08,   2.25, 103.5,  34.0,  -1.7
2023-08-08 08:01:00,   7.18,   2.40, 102.8,  39.4,  -2.2
2023-08-08 08:02:00,   7.27,   2.20, 104.8,  62.9,  -2.4
2023-08-08 08:03:00,   7.14,   2.19, 107.6,  86.2,   0.8
2023-08-08 08:04:00,   7.10,   2.19, 109.9,  89.8,   0.7
2023-08-08 08:05:00,   7.08,   2.14, 111.8,  86.1,   0.7
2023-08-08 08:06:00,   7.12,   2.15, 113.0,  82.9,  -0.4
2023-08-08 08:07:00,   7.18,   2.22, 114.0,  83.1,   0.0
2023-08-08 08:08:00,   7.16,   2.24, 114.2,  88.4,  -2.2
2023-08-08 08:09:00,   7.14,   2.25, 113.7,  92.7,  -2.0
2023-08-08 08:10:00,   7.14,   2.25, 112.9,  97.2,  -0.4
2023-08-08 08:11:00,   7.12,   2.23, 112.3,  99.6,  -2.3
2023-08-08 08:12:00,   7.14,   2.19, 111.9,  99.9,  -2.4
2023-08-08 08:13:00,   7.16,   2.19, 112.1,  99.5,  -2.4
2023-08-08 08:14:00,   7.20,   2.21, 112.2,  99.2,  -2.4
2023-08-08 08:15:00,   7.21,   2.19, 112.4,  98.7,  -2.4
2023-08-08 08:16:00,   7.21,   2.22, 112.5,  98.4,  -2.4
2023-08-08 08:17:00,   7.18,   2.22, 112.5, 101.3,  -1.9
2023-08-08 08:18:00,   7.14,   2.19, 112.2, 103.8,  -1.1
2023-08-08 08:19:00,   7.20,   2.16, 112.2, 103.4,  -1.0
2023-08-08 08:20:00,   7.20,   2.16, 112.6, 103.0,  -1.2
2023-08-08 08:21:00,   7.23,   2.19, 112.9, 102.8,  -0.5
2023-08-08 08:22:00,   7.23,   2.16, 113.0, 101.8,  -2.3
2023-08-08 08:23:00,   7.23,   2.19, 113.1, 101.1,  -2.4
2023-08-08 08:24:00,   7.12,   2.14, 112.6, 101.1,  -2.4
2023-08-08 08:25:00,   7.10,   2.04, 112.3, 102.3,  -2.4
2023-08-08 08:26:00,   6.99,   2.07, 112.3, 102.9,  -2.4
2023-08-08 08:27:00,   6.84,   2.05, 112.1, 103.2,  -2.4
2023-08-08 08:28:00,   6.84,   2.21, 110.3, 102.5,  -2.4
2023-08-08 08:29:00,   6.88,   2.19, 108.9, 101.5,  -2.3
2023-08-08 08:30:00,   7.35,   2.13, 104.2,  96.5,  -2.4
2023-08-08 08:31:00,   7.25,   2.28, 103.7,  93.5,  -0.3
2023-08-08 08:32:00,   7.23,   2.32, 105.2,  96.2,  -2.4
2023-08-08 08:33:00,   7.23,   2.37, 107.1,  97.4,  -2.4
2023-08-08 08:34:00,   7.20,   2.38, 107.5,  97.5,  -2.4
2023-08-08 08:35:00,   7.20,   2.38, 107.8,  97.3,  -2.4
2023-08-08 08:36:00,   7.20,   2.28, 108.3,  97.8,  -2.4
2023-08-08 08:37:00,   7.20,   2.19, 109.1,  99.0,  -2.4
2023-08-08 08:38:00,   7.03,   1.95, 110.5, 100.1,  -2.4
2023-08-08 08:39:00,   7.01,   2.31, 110.8, 100.2,  -2.4
2023-08-08 08:40:00,   6.99,   1.80, 109.9, 100.8,  -1.1
2023-08-08 08:41:00,   6.95,   1.82, 108.5, 101.4,  -2.4
2023-08-08 08:42:00,   7.12,   1.83, 105.9, 101.1,  -2.4
2023-08-08 08:43:00,   7.25,   2.31, 104.0,  98.8,  -2.4
2023-08-08 08:44:00,   7.55,   2.30, 105.9,  95.9,  -2.4
2023-08-08 08:45:00,   7.25,   2.19, 104.7,  94.0,  -2.4
2023-08-08 08:46:00,   7.21,   2.28, 106.9,  92.9,  -1.9
2023-08-08 08:47:00,   7.23,   2.38, 109.0,  94.6,  -2.4
2023-08-08 08:48:00,   7.35,   2.45, 109.6,  95.0,  -2.4
2023-08-08 08:49:00,   7.35,   2.37, 106.9,  96.1,  -2.4
2023-08-08 08:50:00,   7.36,   2.38, 107.3,  96.2,  -2.4
2023-08-08 08:51:00,   7.38,   2.34, 109.6,  97.1,  -2.4
2023-08-08 08:52:00,   7.38,   2.28, 111.5,  97.1,  -2.4
2023-08-08 08:53:00,   7.40,   2.19, 113.3,  97.1,  -1.5
2023-08-08 08:54:00,   7.40,   2.07, 114.9, 102.5,  -1.0
2023-08-08 08:55:00,   7.29,   2.00, 116.9, 104.7,  -2.4
2023-08-08 08:56:00,   7.05,   2.04, 117.4, 104.6,  -2.4
2023-08-08 08:57:00,   7.01,   2.00, 116.1, 104.6,  -2.4
2023-08-08 08:58:00,   6.91,   1.92, 114.4, 104.4,  -2.4
2023-08-08 08:59:00,   6.93,   1.98, 112.3, 104.1,  -2.4
2023-08-08 09:00:00,   7.01,   2.01, 109.2, 103.9,  -2.4
2023-08-08 09:01:00,   7.33,   2.28, 106.1, 102.3,  -0.5
2023-08-08 09:02:00,   7.48,   2.22, 101.4, 100.6,  -0.4
2023-08-08 09:03:00,   7.42,   2.43, 103.2,  95.9,  -0.6
2023-08-08 09:04:00,   7.36,   2.40, 105.4,  95.5,  -0.8
2023-08-08 09:05:00,   7.21,   2.30, 107.6,  99.1,  -1.0
2023-08-08 09:06:00,   7.20,   2.27, 108.3,  99.8,  -0.5
2023-08-08 09:07:00,   7.25,   2.29, 110.5, 101.4,  -0.5
2023-08-08 09:08:00,   7.31,   2.37, 111.7, 101.8,  -0.4
2023-08-08 09:09:00,   7.27,   2.34, 111.8, 102.5,  -0.3
2023-08-08 09:10:00,   7.23,   2.31, 111.8, 102.8,   0.2
2023-08-08 09:11:00,   7.25,   2.26, 112.1, 102.8,  -0.2
2023-08-08 09:12:00,   7.29,   2.28, 112.7, 102.7,  -0.5
2023-08-08 09:13:00,   7.31,   2.31, 113.1, 102.6,  -0.3
2023-08-08 09:14:00,   7.31,   2.31, 113.0, 103.0,  -0.3
2023-08-08 09:15:00,   7.23,   2.25, 113.0, 103.2,   0.6
2023-08-08 09:16:00,   7.23,   2.22, 113.0, 102.4,  -0.1
2023-08-08 09:17:00,   7.27,   2.19, 113.7, 101.5,   0.3
2023-08-08 09:18:00,   7.31,   2.24, 114.2, 101.3,  -0.4
2023-08-08 09:19:00,   7.31,   2.28, 114.2, 102.0,  -0.2
2023-08-08 09:20:00,   7.21,   2.19, 113.5, 102.6,   1.0
2023-08-08 09:21:00,   7.18,   2.04, 113.6, 101.7,  -1.0
2023-08-08 09:22:00,   7.21,   2.05, 114.6, 101.8,  -1.1
2023-08-08 09:23:00,   7.31,   2.17, 115.6, 102.6,  -0.5
2023-08-08 09:24:00,   7.29,   2.24, 115.3, 103.2,  -0.4
2023-08-08 09:25:00,   7.27,   2.25, 113.9, 103.5,  -1.0
2023-08-08 09:26:00,   7.21,   2.22, 112.8, 103.8,   0.2
2023-08-08 09:27:00,   7.20,   2.18, 112.4, 103.5,  -0.1
2023-08-08 09:28:00,   7.20,   2.13, 112.5, 102.9,   0.0
2023-08-08 09:29:00,   7.21,   2.12, 113.2, 102.8,  -1.9
2023-08-08 09:30:00,   7.25,   2.13, 114.0, 102.7,  -1.1
2023-08-08 09:31:00,   7.29,   2.15, 114.4, 103.3,   0.7
2023-08-08 09:32:00,   7.25,   2.16, 114.3, 103.8,  -1.5
2023-08-08 09:33:00,   7.25,   2.19, 114.0, 103.7,  -2.4
2023-08-08 09:34:00,   7.20,   2.07, 113.6, 103.4,  -1.4
2023-08-08 09:35:00,   7.10,   1.96, 113.8, 103.4,  -2.4
2023-08-08 09:36:00,   6.99,   2.01, 113.5, 103.2,  -2.4
2023-08-08 09:37:00,   6.90,   2.16, 112.1, 102.9,  -2.4
2023-08-08 09:38:00,   7.50,   2.25, 109.5, 102.7,  -2.4
2023-08-08 09:39:00,   7.40,   2.20, 108.2, 102.4,  -2.4
2023-08-08 09:40:00,   7.38,   2.43, 109.7, 102.1,  -2.4
2023-08-08 09:41:00,   7.35,   2.40, 107.2, 101.7,  -2.4
2023-08-08 09:42:00,   7.36,   2.43, 106.5, 101.4,  -2.4
2023-08-08 09:43:00,   7.36,   2.42, 107.5, 101.0,  -2.4
2023-08-08 09:44:00,   7.35,   2.39, 108.6, 100.5,  -2.0
2023-08-08 09:45:00,   7.29,   2.19, 109.4, 101.4,  -1.6
2023-08-08 09:46:00,   7.18,   1.99, 111.3, 103.0,  -2.0
2023-08-08 09:47:00,   7.06,   1.93, 112.4, 103.4,   0.4
2023-08-08 09:48:00,   6.95,   2.19, 111.7,  99.2,  -1.2
2023-08-08 09:49:00,   6.97,   2.19, 109.7,  74.4,  -1.4
2023-08-08 09:50:00,   7.18,   2.14, 106.9,  52.8,  -1.8
2023-08-08 09:51:00,   7.46,   2.35, 106.3,  58.6,  -2.3
2023-08-08 09:52:00,   7.33,   2.46, 107.5,  61.3,  -2.4
2023-08-08 09:53:00,   7.29,   2.21, 107.8,  70.7,  -2.3
2023-08-08 09:54:00,   7.25,   2.27, 109.3,  80.2,  -2.4
2023-08-08 09:55:00,   7.23,   2.31, 110.6,  87.6,  -2.4
2023-08-08 09:56:00,   7.23,   2.34, 111.5,  90.4,  -2.4
2023-08-08 09:57:00,   7.21,   2.34, 111.5,  94.8,  -2.4
2023-08-08 09:58:00,   7.21,   2.34, 111.5,  97.5,  -2.4
2023-08-08 09:59:00,   7.23,   2.29, 111.4,  98.3,  -2.4
2023-08-08 10:00:00,   7.25,   2.29, 111.5,  98.1,  -2.4
2023-08-08 10:01:00,   7.29,   2.29, 111.8,  98.6,  -2.4
2023-08-08 10:02:00,   7.31,   2.29, 112.0,  98.5,  -2.4
2023-08-08 10:03:00,   7.33,   2.29, 112.2,  98.1,  -2.4
2023-08-08 10:04:00,   7.27,   2.24, 112.2,  97.9,  -2.4
2023-08-08 10:05:00,   7.23,   2.16, 112.2,  98.2,  -2.4
2023-08-08 10:06:00,   7.21,   2.07, 112.4,  98.9,  -2.4
2023-08-08 10:07:00,   7.25,   2.05, 113.3,  98.7,  -2.4
2023-08-08 10:08:00,   7.33,   2.12, 114.1,  98.3,  -2.4
2023-08-08 10:09:00,   7.31,   2.24, 114.6,  97.7,  -2.4
2023-08-08 10:10:00,   7.31,   2.28, 114.0,  97.3,  -2.4
2023-08-08 10:11:00,   7.25,   2.24, 112.5,  97.4,  -2.4
2023-08-08 10:12:00,   7.21,   2.23, 111.7,  98.2,  -2.4
2023-08-08 10:13:00,   7.23,   2.19, 111.3,  99.1,  -2.4
2023-08-08 10:14:00,   7.25,   2.19, 111.5, 101.8,  -2.4
2023-08-08 10:15:00,   7.29,   2.15, 111.9, 102.6,  -2.4
2023-08-08 10:16:00,   7.25,   2.13, 112.4, 102.7,  -2.4
2023-08-08 10:17:00,   7.21,   2.12, 112.8, 102.5,  -2.4
2023-08-08 10:18:00,   7.20,   2.09, 112.9, 102.5,  -2.4
2023-08-08 10:19:00,   7.18,   2.04, 113.1, 102.8,  -2.4
2023-08-08 10:20:00,   7.18,   2.05, 113.4, 103.9,  -0.7
2023-08-08 10:21:00,   7.20,   2.04, 113.7, 104.3,   0.8
2023-08-08 10:22:00,   7.23,   2.05, 114.2, 100.1,   0.8
2023-08-08 10:23:00,   7.21,   2.04, 114.3,  91.9,   1.0
2023-08-08 10:24:00,   7.12,   1.98, 114.2,  86.8,   0.5
2023-08-08 10:25:00,   7.01,   2.06, 114.0,  83.6,   0.2
2023-08-08 10:26:00,   7.05,   2.01, 113.5,  81.5,  -0.6
2023-08-08 10:27:00,   6.84,   2.07, 112.7,  79.5,  -0.1
2023-08-08 10:28:00,   6.84,   2.10, 110.5,  58.4,  -1.5
2023-08-08 10:29:00,   7.18,   2.17, 108.5,  44.6,  -2.3
2023-08-08 10:30:00,   6.82,   2.15, 106.9,  53.1,  -2.4
2023-08-08 10:31:00,   6.95,   1.59, 105.5,  62.0,  -2.4
2023-08-08 10:32:00,   7.21,   2.52, 104.0,  53.6,  -2.4
2023-08-08 10:33:00,   7.27,   2.26, 104.8,  53.7,  -2.4
2023-08-08 10:34:00,   7.21,   2.40, 107.0,  70.2,  -2.4
2023-08-08 10:35:00,   7.21,   2.36, 107.2,  83.4,  -2.4
2023-08-08 10:36:00,   7.20,   2.33, 104.5,  93.2,  -2.4
2023-08-08 10:37:00,   7.18,   2.26, 105.1,  98.0,  -2.4
2023-08-08 10:38:00,   7.20,   2.18, 107.5,  98.8,  -2.4
2023-08-08 10:39:00,   7.23,   2.13, 109.8,  99.3,  -1.1
2023-08-08 10:40:00,   7.25,   2.05, 112.5, 102.3,  -2.2
2023-08-08 10:41:00,   7.21,   1.98, 114.8, 102.8,  -2.4
2023-08-08 10:42:00,   7.06,   2.01, 116.4, 102.5,  -2.4
2023-08-08 10:43:00,   7.03,   1.89, 116.1, 102.1,  -2.4
2023-08-08 10:44:00,   6.91,   2.15, 114.5, 101.9,  -2.4
2023-08-08 10:45:00,   6.91,   2.19, 112.3, 103.0,  -2.3
2023-08-08 10:46:00,   6.95,   2.22, 109.7, 102.6,  -0.9
2023-08-08 10:47:00,   7.29,   2.38, 106.1,  80.2,  -1.2
2023-08-08 10:48:00,   7.42,   2.38, 102.8,  75.9,   0.9
2023-08-08 10:49:00,   7.35,   2.43, 101.3,  77.1,  -2.3
2023-08-08 10:50:00,   7.27,   2.37, 102.5,  80.2,  -2.4
2023-08-08 10:51:00,   7.20,   2.37, 104.3,  88.9,  -2.4
2023-08-08 10:52:00,   7.14,   2.34, 105.6,  95.8,  -2.4
2023-08-08 10:53:00,   7.16,   2.29, 106.6,  97.4,  -2.2
2023-08-08 10:54:00,   7.16,   2.28, 107.1,  98.0,  -2.3
2023-08-08 10:55:00,   7.21,   2.30, 108.8, 100.6,  -2.4
2023-08-08 10:56:00,   7.27,   2.35, 109.5, 101.0,  -2.4
2023-08-08 10:57:00,   7.23,   2.39, 109.9, 101.0,  -2.4
2023-08-08 10:58:00,   7.23,   2.38, 109.9, 101.0,  -2.4
2023-08-08 10:59:00,   7.21,   2.37, 109.9, 100.9,  -2.3
2023-08-08 11:00:00,   7.23,   2.34, 110.1, 101.8,  -2.4
2023-08-08 11:01:00,   7.25,   2.30, 110.6, 102.1,  -2.4
2023-08-08 11:02:00,   7.27,   2.31, 111.5, 102.2,  -2.4
2023-08-08 11:03:00,   7.27,   2.26, 112.1, 101.9,  -2.4
2023-08-08 11:04:00,   7.23,   2.23, 112.5, 101.6,  -2.4
2023-08-08 11:05:00,   7.21,   2.14, 112.7, 101.4,  -2.4
2023-08-08 11:06:00,   6.99,   2.05, 113.0, 102.4,  -2.4
2023-08-08 11:07:00,   6.88,   2.51, 112.4, 103.6,  -2.4
2023-08-08 11:08:00,   6.88,   1.69, 110.3, 102.9,  -2.4
2023-08-08 11:09:00,   6.86,   1.74, 108.8, 102.0,  -2.4
2023-08-08 11:10:00,   7.46,   2.24, 106.2,  97.3,  -1.7
2023-08-08 11:11:00,   7.29,   2.23, 106.1,  94.7,  -2.4
2023-08-08 11:12:00,   7.23,   2.31, 108.4,  95.5,  -2.4
2023-08-08 11:13:00,   7.21,   2.35, 109.8,  99.4,   0.0
